ID	d1	ignore theme	d1	telugu	d1	english	d1	Clue	d1	Image	d1	Sound
36	|	American_and_Italian_Foods	|	నాక్కి	|	gnocchi	|	నాక్కి_clue	|		|	
37	|	American_and_Italian_Foods	|	గమ్	|	gum	|	గమ్_clue	|		|	
38	|	American_and_Italian_Foods	|	హ్యమ్ బర్గర్	|	hamburger	|	హ్యమ్ బర్గర్_clue	|		|	
39	|	American_and_Italian_Foods	|	హాట్ డాగ	|	hot dog	|	హాట్ డాగ_clue	|		|	
40	|	American_and_Italian_Foods	|	ఐస్ క్రేమ్	|	ice cream	|	ఐస్ క్రేమ్_clue	|		|	
41	|	American_and_Italian_Foods	|	జెర్కీ	|	jerkey	|	జెర్కీ_clue	|		|	
42	|	American_and_Italian_Foods	|	కీ లైమ్ ఆన్ ఎ స్టిక్	|	keylime pie on a stick	|	కీ లైమ్ ఆన్ ఎ స్టిక్_clue	|		|	
43	|	American_and_Italian_Foods	|	లసానియ	|	lasagna	|	లసానియ_clue	|		|	
44	|	American_and_Italian_Foods	|	లింగ్వీనె	|	linguine	|	లింగ్వీనె_clue	|		|	
45	|	American_and_Italian_Foods	|	మారినారా	|	marinara	|	మారినారా_clue	|		|	
46	|	American_and_Italian_Foods	|	పొటాటోస్	|	mashed	|	పొటాటోస్_clue	|		|	
47	|	American_and_Italian_Foods	|	మీట్ లోఫ్	|	meatloaf	|	మీట్ లోఫ్_clue	|		|	
48	|	American_and_Italian_Foods	|	మినిస్ట్రోనె	|	minestrone	|	మినిస్ట్రోనె_clue	|		|	
49	|	American_and_Italian_Foods	|	మొజ్జరెల్ల	|	mozzarella	|	మొజ్జరెల్ల_clue	|		|	
50	|	American_and_Italian_Foods	|	మఫిన్	|	muffin	|	మఫిన్_clue	|		|	
51	|	American_and_Italian_Foods	|	ఓట్ మీల్	|	oat meal	|	ఓట్ మీల్_clue	|		|	
52	|	American_and_Italian_Foods	|	ప్యాన్ కేక్స్	|	pan cakes	|	ప్యాన్ కేక్స్_clue	|		|	
53	|	American_and_Italian_Foods	|	పాంజనెల్ల	|	panzanella	|	పాంజనెల్ల_clue	|		|	
54	|	American_and_Italian_Foods	|	పాస్త	|	pasta	|	పాస్త_clue	|		|	
55	|	American_and_Italian_Foods	|	పెన్నె	|	penne	|	పెన్నె_clue	|		|	
56	|	American_and_Italian_Foods	|	పెస్తో	|	pesto	|	పెస్తో_clue	|		|	
57	|	American_and_Italian_Foods	|	పై	|	pie	|	పై_clue	|		|	
58	|	American_and_Italian_Foods	|	పిజ్జా	|	pizza	|	పిజ్జా_clue	|		|	
59	|	American_and_Italian_Foods	|	పాప్ కార్న్	|	popcorn	|	పాప్ కార్న్_clue	|		|	
60	|	American_and_Italian_Foods	|	పోర్క్	|	pork	|	పోర్క్_clue	|		|	
61	|	American_and_Italian_Foods	|	రవియోలి	|	ravioli	|	రవియోలి_clue	|		|	
62	|	American_and_Italian_Foods	|	రిసోట్టొ	|	risotto	|	రిసోట్టొ_clue	|		|	
63	|	American_and_Italian_Foods	|	సలాడ్	|	salad	|	సలాడ్_clue	|		|	
64	|	American_and_Italian_Foods	|	సలామి	|	salami	|	సలామి_clue	|		|	
65	|	American_and_Italian_Foods	|	స్యాండ్ విచ్	|	sandwich	|	స్యాండ్ విచ్_clue	|		|	
66	|	American_and_Italian_Foods	|	సాసేజ్	|	sausage	|	సాసేజ్_clue	|		|	
67	|	American_and_Italian_Foods	|	సోడా	|	soda	|	సోడా_clue	|		|	
68	|	American_and_Italian_Foods	|	స్పగెట్టి	|	spaghetti	|	స్పగెట్టి_clue	|		|	
69	|	American_and_Italian_Foods	|	స్టీక్	|	steak	|	స్టీక్_clue	|		|	
70	|	American_and_Italian_Foods	|	టోస్ట్	|	toast	|	టోస్ట్_clue	|		|	
71	|	American_and_Italian_Foods	|	వెర్మిచెల్లి	|	vermicilli	|	వెర్మిచెల్లి_clue	|		|	
72	|	American_and_Italian_Foods	|	జీటి	|	ziti	|	జీటి_clue	|		|	
73	|	Andhra_Sweets_Snacks	|	ఆగ్రా పాన్ 	|	Agra Pan	|	ఆగ్రా పాన్ _clue	|	http://4.bp.blogspot.com/-1WitppqGxII/ToGc8oHZBZI/AAAAAAAALiw/nEu8jSUs7oQ/s1600/paan+petha.jpg	|	
74	|	Andhra_Sweets_Snacks	|	అగ్ర పేత 	|	Agra petha 	|	అగ్ర పేత _clue	|	http://www.tajmahaltours-india.com/blog/wp-content/uploads/2012/09/agra_petha.jpg	|	
75	|	Andhra_Sweets_Snacks	|	అజ్మీరి కలాకానీ 	|	Ajmiri kalakand 	|	అజ్మీరి కలాకానీ _clue	|	http://www.mithai4all.com/images/products/G-Pulla-Reddy-Sweets-Ajmeri-Kalakand-big.jpg	|	
76	|	Andhra_Sweets_Snacks	|	ఆలు సమోసా 	|	Alu Samosa	|	ఆలు సమోసా _clue	|	http://www.boldsky.com/img/2011/10/24-aloo-samosa-241011.jpg	|	
77	|	Andhra_Sweets_Snacks	|	అనార్కలి 	|	Anarkali 	|	అనార్కలి _clue	|	http://www.mithai4all.com/images/products/G-Pulla-Reddy-Sweets-Anarkali-big.jpg	|	
78	|	Andhra_Sweets_Snacks	|	అన్జీర్ రోల్ 	|	Anjeer roll 	|	అన్జీర్ రోల్ _clue	|	http://janatamarket.com/dev/images/Kaju%20Anjeer%20Roll.jpg	|	
79	|	Andhra_Sweets_Snacks	|	అప్పాలు 	|	appalu	|	అప్పాలు _clue	|	 http://i.ytimg.com/vi/J6SOX6D6zkI/0.jpg	|	
80	|	Andhra_Sweets_Snacks	|	అరిసెలు	|	ariselu	|	అరిసెలు_clue	|	http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Ariselu.jpg/800px-Ariselu.jpg	|	
81	|	Andhra_Sweets_Snacks	|	అటుకుల ఉండలు 	|	atukula undalu	|	అటుకుల ఉండలు _clue	|	http://2.bp.blogspot.com/_gy85hpaK7NY/SMaMyilHzTI/AAAAAAAABLg/Cwko50sDM8M/s400/kobbari+undalu2.JPG	|	
82	|	Andhra_Sweets_Snacks	|	బాదాం కతిలి 	|	Badam kathli 	|	బాదాం కతిలి _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Badam-kathli.jpg	|	
83	|	Andhra_Sweets_Snacks	|	బాదాం రోల్ 	|	Badam roll	|	బాదాం రోల్ _clue	|	http://www.justbuygifts.com/image/cache/data/India/Sweets/Badam-roll-270x270.jpg	|	
84	|	Andhra_Sweets_Snacks	|	బాదుషా 	|	badusha	|	బాదుషా _clue	|	http://www.spicytasty.com/wp-content/uploads/2012/11/badusha-2.jpg	|	
85	|	Andhra_Sweets_Snacks	|	బందర్ హల్వా 	|	Bandar Halwa 	|	బందర్ హల్వా _clue	|	http://bandaruladdu.com/images/bh.png	|	
86	|	Andhra_Sweets_Snacks	|	బందరు లడ్డు 	|	bandaru laddu	|	బందరు లడ్డు _clue	|	http://recipes2cook.com/wp-content/uploads/2012/05/BANDARU-LADDU.jpg	|	
87	|	Andhra_Sweets_Snacks	|	బాసుంది 	|	Basundi	|	బాసుంది _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Basundi.jpg	|	
88	|	Andhra_Sweets_Snacks	|	బెల్లం మిటాయి 	|	Bellam Mitai 	|	బెల్లం మిటాయి _clue	|	http://4.bp.blogspot.com/_bqydnnqN8c0/SCXJpvgGoZI/AAAAAAAAADc/IZ8r2pdBgZQ/s320/IMG_0058crop.JPG	|	
89	|	Andhra_Sweets_Snacks	|	బొబ్బట్లు	|	bobbatlu	|	బొబ్బట్లు_clue	|	http://madhusvantalu.files.wordpress.com/2007/03/cimg1647c.JPG	|	
90	|	Andhra_Sweets_Snacks	|	బొంబాయి హల్వా 	|	Bombay halwa 	|	బొంబాయి హల్వా _clue	|	http://www.foodkhazana.com/image/cache/data/Sweets/Tricolor%20Halwa-220x165.jpg	|	
91	|	Andhra_Sweets_Snacks	|	బ్రెడ్ బోండా 	|	bread bonda	|	బ్రెడ్ బోండా _clue	|	http://vbalusani.files.wordpress.com/2008/03/bread-bonda-final.jpg	|	
92	|	Andhra_Sweets_Snacks	|	బ్రెడ్ బర్ఫీ 	|	Bread Burfi 	|	బ్రెడ్ బర్ఫీ _clue	|	http://www.boldsky.com/img/2012/08/01-bread-burfi-010812.jpg	|	
93	|	Andhra_Sweets_Snacks	|	కాబేజీ వడ 	|	cabbage vada	|	కాబేజీ వడ _clue	|	http://www.aayisrecipes.com/wp-content/uploads/2008/07/cabbage-vada.jpg	|	
94	|	Andhra_Sweets_Snacks	|	కారెట్ హల్వా 	|	carrot halwa	|	కారెట్ హల్వా _clue	|	http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Gajar_Ka_Halwa.JPG/800px-Gajar_Ka_Halwa.JPG	|	
95	|	Andhra_Sweets_Snacks	|	కాష్యు సీతాఫల్ 	|	Cashew Seetafal	|	కాష్యు సీతాఫల్ _clue	|	http://www.swagruhafoods.net/image/cache/data/cashew/DSC_5082-500x500.jpg	|	
96	|	Andhra_Sweets_Snacks	|	కాష్యు స్ట్రాబెర్రీ 	|	Cashew Strawberry	|	కాష్యు స్ట్రాబెర్రీ _clue	|	http://imshopping.rediff.com/imgshop/200-200/shopping/pixs/4557/d/DDFF29-15092009-113137.jpg	|	
97	|	Andhra_Sweets_Snacks	|	చక్కర పొంగలి 	|	chakkera pongali	|	చక్కర పొంగలి _clue	|	http://1.bp.blogspot.com/-dytHQGrIFIk/UBGol3u7kSI/AAAAAAAAAyg/hlJe1N7oicg/s1600/Chakkara-Pongal.jpg	|	
98	|	Andhra_Sweets_Snacks	|	చక్రాలు 	|	chakralu	|	చక్రాలు _clue	|	 http://www1.sulekha.com/mstore/jonnadula-madhu/albums/default/chakralu.JPG	|	
99	|	Andhra_Sweets_Snacks	|	చలిమిడి 	|	chalividi	|	చలిమిడి _clue	|	http://1.bp.blogspot.com/_X5duOmPB0Bc/Ra7QY4GVbMI/AAAAAAAAAG8/GZqf62eTIsE/s320/Chalimidi.jpg	|	
100	|	Andhra_Sweets_Snacks	|	చంద్ర కాంతలు	|	chandra kantalu	|	చంద్ర కాంతలు_clue	|	http://www.loktv.net/images/articles/english/chandrakantalu.jpg	|	
101	|	Andhra_Sweets_Snacks	|	చెకోడి 	|	Chegodi 	|	చెకోడి _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Chegodi.jpg	|	
102	|	Andhra_Sweets_Snacks	|	చెక్కలు	|	chekkalu	|	చెక్కలు_clue	|	 http://1.bp.blogspot.com/_JB8JTAP9xr8/Sf8OOGI_F8I/AAAAAAAAAgU/-oSUAkm2vmE/s400/Karapu+Chekkalu.JPG	|	
103	|	Andhra_Sweets_Snacks	|	చిమిలి 	|	chimili	|	చిమిలి _clue	|	http://www.talimpu.com/images/chimili.jpg	|	
104	|	Andhra_Sweets_Snacks	|	చుడ్వా 	|	Chudwa 	|	చుడ్వా _clue	|	http://www.hyderabadgiftsdelivery.com/Categories/Sweets/images/delhi_chudwa.jpg	|	
105	|	Andhra_Sweets_Snacks	|	కోకో బర్ఫీ 	|	Coco burfi 	|	కోకో బర్ఫీ _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Coco-burfi.jpg	|	
106	|	Andhra_Sweets_Snacks	|	కోకో నట్ స్వీట్ 	|	Coconut sweet 	|	కోకో నట్ స్వీట్ _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/coconut-sweet.jpg	|	
107	|	Andhra_Sweets_Snacks	|	దద్దోజనము 	|	daddojanam	|	దద్దోజనము _clue	|	http://4.bp.blogspot.com/_Rxh0XH0ayM4/S9ptL1h4-kI/AAAAAAAANRc/88HXMYowGE0/s1600/daddojanam.jpg	|	
108	|	Andhra_Sweets_Snacks	|	దాల్ ముడి 	|	Dalmote 	|	దాల్ ముడి _clue	|	http://www.giftagift.com/ProductImages/Products/big_SWSSAV104.jpg	|	
109	|	Andhra_Sweets_Snacks	|	దోడా బుర్ఫీ 	|	Doda burfi 	|	దోడా బుర్ఫీ _clue	|	http://2doorstep.com/image/cache/data/Spicy%20Food/Dodha_barfi-500x500.jpg	|	
110	|	Andhra_Sweets_Snacks	|	దూద్ పాపిడి 	|	Dood papdi 	|	దూద్ పాపిడి _clue	|	http://kitchentantras.com/wp-content/uploads/thumb-cache/0106ca5cf9fa45954d8fb10dcf2b5568-4ecbadb22ada77ac55b7df778431a930-600x188-100-crop.jpg	|	
111	|	Andhra_Sweets_Snacks	|	దూద్ పేడ 	|	Dood peda 	|	దూద్ పేడ _clue	|	http://cdn.sailusfood.com/wp-content/uploads/2011/11/recipe-for-peda-milk-fudge.jpg	|	
112	|	Andhra_Sweets_Snacks	|	డ్రై ఫ్రూట్ హల్వా 	|	Dry fruit halwa 	|	డ్రై ఫ్రూట్ హల్వా _clue	|	http://gokulsweets.com/images/ANJEER%20DRY%20FRUIT%20HALWA.JPG	|	
113	|	Andhra_Sweets_Snacks	|	డ్రై ఫ్రూట్ కత్లి 	|	Dry fruit kathli 	|	డ్రై ఫ్రూట్ కత్లి _clue	|	http://www.mithai4all.com/images/products/G-Pulla-Reddy-Sweets-Dryfruit-Katli-big.jpg	|	
114	|	Andhra_Sweets_Snacks	|	డ్రై ఫ్రూట్ లడ్డు 	|	Dry fruit laddu	|	డ్రై ఫ్రూట్ లడ్డు _clue	|	http://3.bp.blogspot.com/-1L4anLr8dXA/Tg1qIboZqQI/AAAAAAAAA1I/TwxGzIdH74I/s1600/Dry+fruit+laddus.JPG	|	
115	|	Andhra_Sweets_Snacks	|	గట్టి పకోడీ 	|	Gatti Pakodi	|	గట్టి పకోడీ _clue	|	http://farm8.staticflickr.com/7161/6634712655_ba3bbe8759.jpg	|	
116	|	Andhra_Sweets_Snacks	|	గవ్వలు	|	gavvalu	|	గవ్వలు_clue	|	http://1.bp.blogspot.com/_FUCvx_zejsY/S1LgdSR7GEI/AAAAAAAADM0/bpadMmnjzOg/s320/IMG_8556.JPG	|	
117	|	Andhra_Sweets_Snacks	|	గోధుమ హల్వా 	|	godhuma halwa	|	గోధుమ హల్వా _clue	|	http://3.bp.blogspot.com/-eZnYeT_KfIU/Trkf4KkIRRI/AAAAAAAAAEI/PLDORtqTzWU/s1600/godhuma_halwa+%2528maavantagadi.blogspot.com%2529.jpg	|	
118	|	Andhra_Sweets_Snacks	|	గులాబ్ జామూన్ 	|	Gulab Jamun 	|	గులాబ్ జామూన్ _clue	|	http://food.sulekha.com/dishimages/433.jpg	|	
119	|	Andhra_Sweets_Snacks	|	గుమ్మడికాయ వడియాలు 	|	gummadikaya vadiyalu	|	గుమ్మడికాయ వడియాలు _clue	|	http://www.hotchulha.com/wp-content/uploads/2010/06/Booditha-Gummadi-fried1.jpg	|	
120	|	Andhra_Sweets_Snacks	|	ఐస్ క్రీం బర్ఫీ 	|	Ice Cream Burfy	|	ఐస్ క్రీం బర్ఫీ _clue	|	http://www.swagruhafoods.net/image/cache/data/swagruha%20foods/DSC_5444-120x120.jpg	|	
121	|	Andhra_Sweets_Snacks	|	జాంగ్రి	|	jangri	|	జాంగ్రి_clue	|	http://hungrynagpur.com/beta/images/categories/jalebi.jpg	|	
122	|	Andhra_Sweets_Snacks	|	జంతికలు 	|	jantikalu	|	జంతికలు _clue	|	 http://cdn.sailusfood.com/wp-content/uploads/2008/10/janthikalu.jpg	|	
123	|	Andhra_Sweets_Snacks	|	జిలేబి 	|	jilebi 	|	జిలేబి _clue	|	http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Jalebiindia.jpg/800px-Jalebiindia.jpg	|	
124	|	Andhra_Sweets_Snacks	|	కచోరి 	|	Kachori 	|	కచోరి _clue	|	http://cdn.sailusfood.com/wp-content/uploads/2010/03/khasta-kachori.jpg	|	
125	|	Andhra_Sweets_Snacks	|	కజ్జి కాయలు	|	kajji kayalu	|	కజ్జి కాయలు_clue	|	http://www.halaysrestaurant.com/img/18.jpg	|	
126	|	Andhra_Sweets_Snacks	|	కాజు కట్రి / కాజు కతలి 	|	Kaju kathli 	|	కాజు కట్రి / కాజు కతలి _clue	|	http://upload.wikimedia.org/wikipedia/commons/8/85/Kaju_katli.JPG	|	
127	|	Andhra_Sweets_Snacks	|	కాజు పకోడా 	|	kaju pakoda 	|	కాజు పకోడా _clue	|	http://www.gpullareddysweets.org/admin/upload/product/main/kaju-pakoda.jpg	|	
128	|	Andhra_Sweets_Snacks	|	కాజు పిస్తా రోల్ 	|	Kaju pista roll 	|	కాజు పిస్తా రోల్ _clue	|	http://www.mithai4all.com/images/products/Gwalia-Sweets-Kaju-Pista-Roll-big.jpg	|	
129	|	Andhra_Sweets_Snacks	|	కాకినాడ కాజా 	|	Kakinada kaja	|	కాకినాడ కాజా _clue	|	http://vizagfood.com/vizagfood/images/Kakinada%20Kaja.jpg	|	
130	|	Andhra_Sweets_Snacks	|	కలాకండ్ 	|	kalakand	|	కలాకండ్ _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Kalakand.jpg	|	
131	|	Andhra_Sweets_Snacks	|	కార మిక్స్డ్ 	|	Kara mixture 	|	కార మిక్స్డ్ _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Kara-mixture.jpg	|	
132	|	Andhra_Sweets_Snacks	|	కారా బూంది 	|	Karaboondi	|	కారా బూంది _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Kara-boondi.jpg	|	
133	|	Andhra_Sweets_Snacks	|	కేసరి  పేడ 	|	Kesari peda 	|	కేసరి  పేడ _clue	|	http://www.orderyourchoice.com/592-696-home/-kesari-peda-pulla-reddy-sweets-hyderabad-.jpg	|	
134	|	Andhra_Sweets_Snacks	|	కోవా 	|	Khova 	|	కోవా _clue	|	http://www.samai.in/recipes/wp-content/uploads/2008/02/milk-pal-sweet-palkova.jpg	|	
135	|	Andhra_Sweets_Snacks	|	కిస్మిస్ కలకాని 	|	Kismis Kalakani	|	కిస్మిస్ కలకాని _clue	|	http://www.swagruhafoods.net/image/cache/data/DSC_5501-500x500.jpg	|	
136	|	Andhra_Sweets_Snacks	|	కొబ్బరి ఉండలు 	|	kobbari undalu	|	కొబ్బరి ఉండలు _clue	|	http://2.bp.blogspot.com/_gy85hpaK7NY/SMaMyilHzTI/AAAAAAAABLg/Cwko50sDM8M/s400/kobbari+undalu2.JPG	|	
137	|	Andhra_Sweets_Snacks	|	కోవా పూరి 	|	Kova Puri 	|	కోవా పూరి _clue	|	http://hyderabadbazaar.com/product/Newsweet/Khova-Burfi_big.jpg	|	
138	|	Andhra_Sweets_Snacks	|	లడ్డు	|	laddu	|	లడ్డు_clue	|	 http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Laddu1.JPG/800px-Laddu1.JPG	|	
139	|	Andhra_Sweets_Snacks	|	మడత కాజా	|	madata kazha	|	మడత కాజా_clue	|	http://www.giftagift.com/ProductImages/Products/big_SWESAV102.jpg	|	
140	|	Andhra_Sweets_Snacks	|	మలై బర్ఫీ 	|	Malai burfi 	|	మలై బర్ఫీ _clue	|	http://img.tradeindia.com/fp/0/255/970.jpg	|	
141	|	Andhra_Sweets_Snacks	|	మలై లడ్డు 	|	Malai Laddu	|	మలై లడ్డు _clue	|	http://jaswantsweets.com/wp-content/uploads/2012/04/malai-pedha1.jpg	|	
142	|	Andhra_Sweets_Snacks	|	మలై పేడ 	|	Malai peda 	|	మలై పేడ _clue	|	http://www.srunghi.com/_client/img/products/milk/MALAI_PEDA.jpg	|	
143	|	Andhra_Sweets_Snacks	|	మాల్ పూరి 	|	Malpuri 	|	మాల్ పూరి _clue	|	http://3.bp.blogspot.com/-x5OOUCqc4DE/UFsgrT6EPdI/AAAAAAAAECo/WGBnHzBYU38/s1600/maalpuri.jpg	|	
144	|	Andhra_Sweets_Snacks	|	మెత్తని పకోడీ 	|	Mettani Pakodi	|	మెత్తని పకోడీ _clue	|	http://media2.intoday.in/wonderwoman/images/stories/100710045739cauli_pakodi_400.jpg	|	
145	|	Andhra_Sweets_Snacks	|	మిల్క్ మైసూరు పాక్ 	|	Milk mysorepak 	|	మిల్క్ మైసూరు పాక్ _clue	|	http://www.mithai4all.com/images/products/G-Pulla-Reddy-Sweets-Milk-Mysorepak-big.jpg	|	
146	|	Andhra_Sweets_Snacks	|	మూంగ్ దాల్ 	|	Moong dal 	|	మూంగ్ దాల్ _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Moong-dal.jpg	|	
147	|	Andhra_Sweets_Snacks	|	మోతిచుర్ లడ్డు 	|	Mothichur Laddu	|	మోతిచుర్ లడ్డు _clue	|	http://www.ashasweetcenter.com/images/products/lg/motichur_laddoo.png	|	
148	|	Andhra_Sweets_Snacks	|	మురుగులు 	|	murugulu	|	మురుగులు _clue	|	http://1.bp.blogspot.com/-tf5zvKLu_Us/TwbasBpDSkI/AAAAAAAAB58/6yflMSdvxpQ/s1600/Murkulu1.jpg	|	
149	|	Andhra_Sweets_Snacks	|	మైసూర్ పాక్	|	mysur pak 	|	మైసూర్ పాక్_clue	|	http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Mysore_pak.jpg/800px-Mysore_pak.jpg	|	
150	|	Andhra_Sweets_Snacks	|	పల్లి పకోడీ 	|	Palli Pakodi	|	పల్లి పకోడీ _clue	|	http://1.bp.blogspot.com/-k5O-5jFvva0/UJBoTvPDMUI/AAAAAAAAFVA/vlCpiRcTuxc/s1600/pallipakodi.JPG	|	
151	|	Andhra_Sweets_Snacks	|	పనస తొనలు	|	panasa tonalu	|	పనస తొనలు_clue	|	http://3.bp.blogspot.com/_QVj5_hBNJOc/SQh2gk_-zpI/AAAAAAAADA8/vK5CsD5ltk8/s400/Panasa+Thonalu+3.jpg	|	
152	|	Andhra_Sweets_Snacks	|	పరమాన్నము	|	paravannam	|	పరమాన్నము_clue	|	http://www.shadruchulu.com/english/wp-content/uploads/2009/09/paramannam.jpg	|	
153	|	Andhra_Sweets_Snacks	|	పెరుగు వడలు 	|	perugu vadalu	|	పెరుగు వడలు _clue	|	 http://3.bp.blogspot.com/_HWM9bu7pof4/S30HeSNahqI/AAAAAAAAIRU/CIwcHeEzxKs/s400/Picture+100.jpg	|	
154	|	Andhra_Sweets_Snacks	|	పేత హల్వా 	|	Petha halwa 	|	పేత హల్వా _clue	|	http://2.bp.blogspot.com/-49frSu8izqA/UK5auJaMZ1I/AAAAAAAAGSY/rYMoy6cmR-o/s1600/ash+gourd+halwa+petha+halwa.JPG	|	
155	|	Andhra_Sweets_Snacks	|	పులిహోర 	|	pulihora	|	పులిహోర _clue	|	http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Pulihora.jpg/800px-Pulihora.jpg	|	
156	|	Andhra_Sweets_Snacks	|	పూర్ణం బూరెలు 	|	purnam burelu	|	పూర్ణం బూరెలు _clue	|	http://tagnetwork.in/webtag/image/cache/data/poornam_burelu-500x500.jpg	|	
157	|	Andhra_Sweets_Snacks	|	పూత రేకులు	|	puta rekulu	|	పూత రేకులు_clue	|	http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Pootharekulu.JPG/800px-Pootharekulu.JPG	|	
158	|	Andhra_Sweets_Snacks	|	రసగుల్లా 	|	Rasagulla	|	రసగుల్లా _clue	|	http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Rasagulla.jpg/634px-Rasagulla.jpg	|	
159	|	Andhra_Sweets_Snacks	|	రసభరి 	|	Rasbhari 	|	రసభరి _clue	|	http://www.gpullareddysweets.org/admin/upload/product/lightbox/Rasbhari.jpg	|	
